id,key,value,type
12427851,county,"Horry, SC",tiger
12427851,name_base,18th,tiger
12427851,name_direction_suffix,N,tiger
12427851,name_type,Ave,tiger
12427851,reviewed,no,tiger
12427851,zip_left,29577,tiger
12427851,zip_right,29577,tiger
12428000,highway,residential,regular
12428000,name,18th Avenue South,regular
12428000,cfcc,A41,tiger
12428000,county,"Horry, SC",tiger
12428000,name_base,18th,tiger
12428000,name_direction_suffix,S,tiger
12428000,name_type,Ave,tiger
12428000,reviewed,no,tiger
12428000,zip_left,29577,tiger
12428000,zip_right,29577,tiger
12428084,highway,service,regular
12428084,name,Splinter City Road,regular
12428084,cfcc,A41,tiger
12428084,county,"Horry, SC",tiger
12428084,name_base,Splinter City,tiger
12428084,name_type,Rd,tiger
12428084,zip_left,29577,tiger
12428084,zip_right,29577,tiger
12428127,highway,residential,regular
12428127,name,Campbell Street,regular
12428257,highway,residential,regular
12428257,name,Hwy 396,regular
12428257,cfcc,A41,tiger
12428257,county,"Horry, SC",tiger
12428257,name_base,State Highway 369,tiger
12428257,reviewed,no,tiger
12428284,highway,residential,regular
12428284,name,12th Avenue North,regular
12428284,cfcc,A41,tiger
12428284,county,"Horry, SC",tiger
12428284,name_base,12th,tiger
12428284,name_direction_suffix,N,tiger
12428284,name_type,Ave,tiger
12428284,reviewed,no,tiger
12428296,highway,residential,regular
12428296,name,12th Avenue North,regular
12428296,cfcc,A41,tiger
12428296,county,"Horry, SC",tiger
12428296,name_base,12th,tiger
12428296,name_direction_suffix,N,tiger
12428296,name_type,Ave,tiger
12428296,reviewed,no,tiger
12428296,zip_left,29577,tiger
12428296,zip_right,29577,tiger
12428349,highway,residential,regular
12428349,name,Malibu Lane,regular
12428349,cfcc,A41,tiger
12428349,county,"Horry, SC",tiger
12428349,name_base,Malibu,tiger
12428349,name_type,Ln,tiger
12428349,reviewed,no,tiger
12428349,zip_left,29577,tiger
12428349,zip_right,29577,tiger
12428361,highway,residential,regular
12428361,name,27th Avenue North,regular
12428361,cfcc,A41,tiger
12428361,county,"Horry, SC",tiger
12428361,name_base,27th,tiger
12428361,name_direction_suffix,N,tiger
12428361,name_type,Ave,tiger
12428361,reviewed,no,tiger
12428449,highway,residential,regular
12428449,name,12th Avenue South,regular
12428449,cfcc,A41,tiger
12428449,county,"Horry, SC",tiger
12428449,name_base,12th,tiger
12428449,name_direction_suffix,S,tiger
12428449,name_type,Ave,tiger
12428449,reviewed,no,tiger
12428449,zip_left,29577,tiger
12428449,zip_right,29577,tiger
12428456,highway,residential,regular
12428456,name,Moonlight Drive,regular
12428456,cfcc,A41,tiger
12428456,county,"Horry, SC",tiger
12428456,name_base,Moonlight,tiger
12428456,name_type,Dr,tiger
12428456,reviewed,no,tiger
12428548,highway,residential,regular
12428548,name,3rd Avenue North,regular
12428548,cfcc,A41,tiger
12428548,county,"Horry, SC",tiger
12428548,name_base,3rd,tiger
12428548,name_direction_suffix,N,tiger
12428548,name_type,Ave,tiger
12428548,reviewed,no,tiger
12428548,zip_left,29577,tiger
12428566,highway,residential,regular
12428566,name,3rd Avenue North,regular
12428566,cfcc,A41,tiger
12428566,county,"Horry, SC",tiger
12428566,name_base,3rd,tiger
12428566,name_direction_suffix,N,tiger
12428566,name_type,Ave,tiger
12428566,reviewed,no,tiger
12428566,zip_left,29577,tiger
12428579,highway,residential,regular
12428579,name,Drew Street,regular
12428579,cfcc,A41,tiger
12428579,county,"Horry, SC",tiger
12428579,name_base,Drew,tiger
12428579,name_type,St,tiger
12428579,reviewed,no,tiger
12428579,zip_left,29577,tiger
12428579,zip_right,29577,tiger
12428584,highway,residential,regular
12428584,name,Alder Street,regular
12428584,cfcc,A41,tiger
12428584,county,"Horry, SC",tiger
12428584,name_base,Alder,tiger
12428584,name_type,St,tiger
12428584,reviewed,no,tiger
12428693,highway,tertiary,regular
12428693,name,3rd Avenue South,regular
12428693,cfcc,A41,tiger
12428693,county,"Horry, SC",tiger
12428693,name_base,3rd,tiger
12428693,name_direction_suffix,S,tiger
12428693,name_type,Ave,tiger
12428693,reviewed,no,tiger
12428693,zip_left,29577,tiger
12428693,zip_right,29577,tiger
12428718,highway,residential,regular
12428718,name,Carolina Cove Drive,regular
12428718,cfcc,A41,tiger
12428718,county,"Horry, SC",tiger
12428718,name_base,Tiffany,tiger
12428718,name_type,Ln,tiger
12428718,reviewed,no,tiger
12428718,zip_left,29577,tiger
12428718,zip_right,29577,tiger
12428742,highway,residential,regular
12428742,name,Mockingbird Street,regular
12428742,cfcc,A41,tiger
12428742,county,"Horry, SC",tiger
12428742,name_base,Mockingbird,tiger
12428742,name_type,St,tiger
12428742,reviewed,no,tiger
12428742,zip_left,29577,tiger
12428742,zip_right,29577,tiger
12428891,highway,residential,regular
12428891,name,Mariners Way,regular
12428891,cfcc,A41,tiger
12428891,county,"Horry, SC",tiger
12428891,name_base,Mariners,tiger
12428891,name_type,Way,tiger
12428891,reviewed,no,tiger
12428891,separated,no,tiger
12428891,source,tiger_import_dch_v0.6_20070829,tiger
12428891,tlid,29071385,tiger
12428891,upload_uuid,bulk_upload.pl-d4571a8e-22ce-40ef-bb16-0392b2940b1d,tiger
12428891,zip_left,29577,tiger
12428891,zip_right,29577,tiger
12428898,highway,residential,regular
12428898,name,Grey Street,regular
12429254,highway,residential,regular
12429254,name,Piedmont Avenue,regular
12429254,name_1,Piedmont Avenue,regular
12429254,cfcc,A41,tiger
12429254,county,"Horry, SC",tiger
12429254,name_base,Industrial,tiger
12429254,name_base_1,Piedmont,tiger
12429254,name_type,Dr,tiger
12429254,name_type_1,Ave,tiger
12429254,reviewed,no,tiger
12429254,zip_left,29577,tiger
12429254,zip_right,29577,tiger
12429462,highway,residential,regular
12429462,name,Viking Drive,regular
12429462,cfcc,A41,tiger
12429462,county,"Horry, SC",tiger
12429462,name_base,Viking,tiger
12429462,name_type,Dr,tiger
12429462,reviewed,no,tiger
12429462,zip_left,29577,tiger
12429462,zip_right,29577,tiger
12429609,highway,residential,regular
12429609,name,Royal Devon Drive,regular
12429609,cfcc,A41,tiger
12429609,county,"Horry, SC",tiger
12429609,name_base,Royal Devon,tiger
12429609,name_type,Dr,tiger
12429609,reviewed,no,tiger
12429609,zip_left,29575,tiger
12429609,zip_right,29575,tiger
12429629,highway,residential,regular
12429629,name,Balsam Street,regular
12429629,cfcc,A41,tiger
12429629,county,"Horry, SC",tiger
12429629,name_base,Balsam,tiger
12429629,name_type,St,tiger
12429629,reviewed,no,tiger
12429639,highway,residential,regular
12429639,name,Hemingway Street,regular
12429639,cfcc,A41,tiger
12429639,county,"Horry, SC",tiger
12429639,name_base,Hemingway,tiger
12429639,name_type,St,tiger
12429639,reviewed,no,tiger
12429639,zip_left,29577,tiger
12429639,zip_right,29577,tiger
12429660,highway,residential,regular
12429660,name,Sweetgum Street,regular
12429660,cfcc,A41,tiger
12429660,county,"Horry, SC",tiger
12429660,name_base,Sweetgum,tiger
12429660,name_type,St,tiger
12429660,reviewed,no,tiger
12429660,zip_left,29577,tiger
12429660,zip_right,29577,tiger
12429668,highway,residential,regular
12429668,name,Boundary Street,regular
12429668,cfcc,A41,tiger
12429668,county,"Horry, SC",tiger
12429668,name_base,Boundary,tiger
12429668,name_type,St,tiger
12429668,reviewed,no,tiger
12429668,zip_left,29577,tiger
12429668,zip_right,29577,tiger
12429701,highway,residential,regular
12429701,name,Alberta Street,regular
12429701,cfcc,A41,tiger
12429701,county,"Horry, SC",tiger
12429701,name_base,Alberta,tiger
12429701,name_type,St,tiger
12429701,reviewed,no,tiger
12429701,zip_left,29577,tiger
12429701,zip_right,29577,tiger
12429708,highway,residential,regular
